F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
3.88,3.32,2.87,3.48,4.45,0.53,1.0,0.83,0.04,32.0,26.0,4.0,1.64,2.0,False
-2.72,0.86,-0.68,-1.88,-2.66,1.52,10.0,7.45,7.7,5.0,235.0,15.0,12.15,-65.0,True
3.97,2.1,2.4,3.67,4.81,2.67,1.0,0.82,0.9,17.0,72.0,2.0,1.36,-12.0,True
2.92,2.45,4.2,4.27,2.49,0.78,1.0,0.34,0.61,31.0,16.0,4.0,0.79,1.0,False
2.44,2.24,3.51,3.02,3.97,1.64,1.0,0.6,0.67,14.0,18.0,0.0,0.64,-7.0,True
4.82,2.86,6.99,3.23,3.55,0.44,1.0,0.12,0.86,22.0,38.0,4.0,2.07,10.0,False
-0.82,-1.47,-1.98,-1.98,-0.63,-0.88,10.0,5.35,9.35,90.0,220.0,15.0,14.15,-10.0,True
-0.44,-0.3,-2.04,-0.11,1.57,1.26,10.0,5.75,8.35,65.0,60.0,5.0,6.1,-80.0,False
-0.59,-1.32,-0.37,-1.1,-0.28,-0.85,10.0,6.4,5.7,155.0,40.0,5.0,12.8,-60.0,False
0.92,-0.1,-1.0,-0.27,0.6,1.87,10.0,5.2,6.0,65.0,130.0,5.0,5.35,-85.0,False
2.73,2.77,2.84,3.66,3.32,1.19,1.0,0.96,0.48,8.0,7.0,4.0,0.43,7.0,True
3.04,3.1,3.8,3.0,2.89,1.13,1.0,0.29,0.46,42.0,4.0,2.0,1.79,7.0,False
7.57,2.28,2.85,2.52,3.12,1.19,1.0,1.01,0.97,41.0,66.0,2.0,1.71,5.0,True
1.05,-0.59,-0.54,0.36,-0.4,-0.99,10.0,5.5,6.65,225.0,185.0,25.0,11.05,55.0,False
0.28,-1.18,-1.15,0.63,0.02,1.35,10.0,5.55,5.85,90.0,210.0,15.0,7.9,-95.0,False
2.52,2.71,4.14,5.81,2.31,4.13,1.0,0.7,0.87,18.0,26.0,0.0,0.15,-1.0,True
-2.31,-0.82,-2.61,-2.37,-1.33,1.24,10.0,8.95,6.7,20.0,280.0,15.0,6.45,-50.0,True
0.96,0.69,-0.81,1.02,0.58,2.46,10.0,5.05,5.55,70.0,355.0,5.0,11.55,-55.0,False
2.88,4.22,4.84,4.82,3.93,1.27,1.0,0.78,0.27,13.0,70.0,2.0,1.66,13.0,False
0.78,-1.51,-1.83,-1.06,-1.78,0.81,10.0,6.05,7.0,90.0,120.0,5.0,7.95,-80.0,False
2.58,4.63,2.77,3.79,6.45,1.37,1.0,0.77,0.56,15.0,7.0,0.0,1.04,-3.0,True
2.99,2.96,2.34,3.09,2.18,0.63,1.0,0.97,0.82,45.0,4.0,4.0,0.99,11.0,True
3.05,2.45,2.3,2.43,2.27,1.48,0.0,1.0,0.29,27.0,39.0,2.0,0.69,-3.0,True
-1.18,-1.87,-1.99,-1.88,-1.61,1.81,10.0,5.65,7.0,40.0,120.0,5.0,5.2,-90.0,False
2.39,4.3,4.67,2.29,5.64,1.21,1.0,0.82,0.66,1.0,6.0,2.0,0.89,-13.0,True
-0.31,-0.59,1.87,1.2,-1.06,0.42,10.0,6.2,6.75,210.0,380.0,5.0,14.25,-5.0,False
3.76,2.36,2.87,3.43,2.41,1.73,1.0,0.4,1.06,38.0,25.0,2.0,1.7,-4.0,False
-0.37,-1.46,-0.5,0.48,1.01,-0.07,10.0,6.0,7.15,135.0,170.0,5.0,12.8,-55.0,False
-2.2,-1.98,-2.28,-2.49,-0.28,-0.62,10.0,7.7,7.4,165.0,265.0,25.0,9.5,15.0,True
-0.31,-0.8,-1.07,-1.32,-0.21,1.21,10.0,6.15,6.5,165.0,100.0,15.0,8.95,-60.0,False
-0.94,-0.48,-1.41,-1.25,0.54,-1.04,10.0,6.15,8.6,185.0,50.0,15.0,9.85,-35.0,True
2.74,2.19,2.82,2.92,6.29,0.27,1.0,0.92,0.2,3.0,7.0,4.0,1.48,8.0,True
2.98,3.08,2.37,8.29,2.41,0.07,1.0,0.45,0.64,19.0,10.0,4.0,1.64,9.0,True
-3.17,4.63,-1.53,-0.93,-1.21,1.53,10.0,7.85,8.25,-5.0,370.0,15.0,11.15,-90.0,True
4.61,2.37,4.97,2.98,3.09,-0.03,1.0,0.41,0.89,14.0,7.0,4.0,1.59,15.0,True
-2.97,-0.19,-1.72,-0.49,-2.96,-0.22,10.0,7.1,10.35,125.0,350.0,25.0,6.25,60.0,True
1.51,2.78,1.15,0.37,0.94,3.24,10.0,4.9,5.3,100.0,375.0,15.0,9.6,-20.0,False
-0.14,-0.57,2.01,-1.18,-0.85,0.1,10.0,6.55,6.75,225.0,100.0,15.0,10.95,-15.0,False
2.53,2.31,3.33,2.54,3.22,1.71,1.0,0.9,0.54,43.0,17.0,2.0,0.1,12.0,False
-1.5,-0.86,0.17,-2.28,-2.14,-0.37,10.0,9.0,5.15,215.0,140.0,15.0,8.0,-15.0,True
-2.06,-1.51,-2.43,-1.09,2.77,0.31,10.0,6.0,8.35,60.0,320.0,15.0,9.3,15.0,False
2.79,5.61,3.73,2.77,5.83,0.73,1.0,0.68,0.18,42.0,2.0,2.0,0.21,9.0,False
-2.43,-2.01,-2.25,-2.53,-2.69,1.54,10.0,8.8,5.5,90.0,390.0,5.0,11.45,-5.0,False
-0.73,1.76,-0.65,-0.23,-0.67,-0.12,10.0,5.75,5.35,155.0,365.0,25.0,15.35,85.0,False
-3.06,-2.62,-2.13,-1.48,-0.16,3.52,10.0,7.95,8.05,35.0,235.0,15.0,6.8,-100.0,True
2.7,2.31,7.48,7.15,5.17,0.81,1.0,0.89,0.92,34.0,3.0,2.0,1.07,-15.0,True
3.57,2.67,5.43,4.75,2.61,1.0,1.0,0.78,0.02,11.0,36.0,2.0,1.87,18.0,True
-2.01,-1.58,-1.96,-2.13,-1.72,1.82,10.0,8.2,5.35,180.0,325.0,15.0,7.05,20.0,False
2.81,3.35,2.33,2.23,2.42,2.67,1.0,0.63,0.99,32.0,1.0,0.0,1.55,-20.0,True
-2.38,-1.97,-2.09,-0.27,-1.72,-1.01,10.0,6.35,8.0,25.0,150.0,15.0,10.75,10.0,True
2.35,3.91,3.27,2.84,2.36,2.29,1.0,0.87,0.43,39.0,13.0,2.0,0.18,-5.0,False
2.34,3.43,2.49,4.86,3.03,1.13,1.0,0.6,0.93,42.0,13.0,4.0,1.15,11.0,True
-1.98,-0.81,-1.6,-1.68,-1.17,0.99,10.0,5.95,9.85,155.0,370.0,15.0,7.05,15.0,False
2.4,4.01,4.09,3.42,2.35,2.42,1.0,0.63,0.94,36.0,16.0,4.0,0.76,13.0,True
2.8,5.54,2.5,3.24,5.53,1.93,1.0,0.68,0.58,3.0,19.0,2.0,1.34,-1.0,True
0.01,-1.25,-1.16,3.02,-1.2,-0.02,10.0,6.25,6.65,150.0,250.0,15.0,8.05,65.0,False
2.39,4.01,2.83,2.77,2.41,0.39,1.0,0.45,0.58,18.0,18.0,2.0,1.97,-6.0,False
2.66,2.69,3.0,3.06,2.79,0.92,1.0,0.51,0.64,23.0,42.0,2.0,1.5,-21.0,True
3.48,3.37,3.38,3.38,2.7,1.11,1.0,0.16,0.45,35.0,13.0,2.0,1.49,16.0,False
-1.95,-1.03,-0.9,-1.77,-2.07,0.66,10.0,6.3,9.7,145.0,270.0,15.0,7.6,-35.0,False
2.52,4.96,2.41,4.36,4.63,1.78,1.0,0.71,0.18,1.0,9.0,2.0,1.0,3.0,False
-2.31,-1.13,-0.9,-1.65,-1.32,0.58,10.0,7.25,7.55,100.0,215.0,5.0,9.85,-25.0,True
3.54,3.99,3.85,2.55,2.42,2.43,1.0,0.8,0.5,24.0,56.0,2.0,0.9,11.0,True
3.25,2.77,2.45,2.7,2.92,5.09,1.0,0.5,0.95,44.0,30.0,3.0,1.91,-0.0,False
0.86,-0.85,-0.83,-0.84,-1.52,0.48,10.0,5.85,5.6,55.0,145.0,15.0,5.65,-45.0,False
5.52,3.07,3.38,3.14,2.63,1.54,1.0,0.22,0.49,33.0,2.0,2.0,1.15,16.0,False
2.16,2.18,3.24,2.94,2.36,1.43,1.0,0.96,0.51,6.0,55.0,2.0,0.55,3.0,True
-1.03,-0.17,-1.04,2.07,0.57,-1.06,10.0,6.15,5.75,125.0,100.0,25.0,10.35,40.0,False
-1.91,-1.28,-2.33,-2.02,-1.68,-0.64,10.0,8.8,5.95,210.0,15.0,15.0,5.5,-35.0,True
3.01,2.32,2.43,2.42,2.13,0.57,1.0,0.94,0.44,12.0,8.0,0.0,1.39,-1.0,True
2.59,2.14,2.33,2.72,2.71,4.73,1.0,0.91,0.76,24.0,42.0,4.0,0.29,15.0,True
-0.92,2.82,-1.66,0.58,-1.14,-0.5,10.0,5.4,8.75,100.0,185.0,15.0,10.6,75.0,False
3.51,5.17,4.19,3.11,7.28,0.98,1.0,0.06,0.46,4.0,33.0,4.0,1.3,10.0,False
2.04,2.78,2.6,3.8,4.26,1.39,1.0,0.81,0.92,2.0,25.0,2.0,0.22,2.0,True
-1.28,-1.84,-1.87,-1.25,-2.13,-0.32,10.0,4.65,9.15,5.0,260.0,15.0,7.75,45.0,True
6.17,4.32,2.79,2.62,2.91,0.76,1.0,0.55,0.9,37.0,18.0,2.0,0.62,-10.0,False
2.96,2.92,7.58,3.05,2.49,2.14,1.0,0.74,0.07,10.0,7.0,2.0,0.01,13.0,False
3.71,5.33,3.72,3.74,3.26,1.77,1.0,0.65,0.04,20.0,27.0,4.0,0.45,14.0,False
3.62,3.76,4.13,6.38,2.14,0.66,1.0,0.76,0.91,22.0,7.0,0.0,1.18,-21.0,True
0.43,-0.47,-0.65,-1.01,3.74,1.15,10.0,5.75,6.6,165.0,300.0,15.0,5.75,-70.0,False
-1.05,-1.12,-1.6,0.55,-1.03,0.22,10.0,6.8,5.3,135.0,275.0,15.0,6.5,25.0,False
